Jogos disputados;;;;
90;;;;
Média de gols por jogo;;;;
2,27;;;;
Gols marcados;;;;
204;;;;
Ambas as equipes marcaram;;;;
42;;;;
;Resultado do jogo ;Torneio;Fase;Estádio
18/jun/26;Tchéquia;Copa do Mundo da FIFA 2026™;Primeira fase;Estádio de Atlanta
;Tchéquia;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;1;;;
;1;;;
11/jun/26;México;Copa do Mundo da FIFA 2026™;Primeira fase;Estádio da Cidade do México
;México;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;2;;;
;0;;;
29/mai/26;África do Sul;Friendly 2026;-;Estádio de Orlando
;África do Sul;;;
;;;;
;Nicarágua;;;
;Nicarágua;;;
;;;;
;Final de partida;;;
;0;;;
;0;;;
31/mar/26;África do Sul;Friendly 2026;-;Estádio da Cidade do Cabo
;África do Sul;;;
;;;;
;Panamá;;;
;Panamá;;;
;;;;
;Final de partida;;;
;1;;;
;2;;;
27/mar/26;África do Sul;Friendly 2026;-;Estádio Mbombela
;África do Sul;;;
;;;;
;Panamá;;;
;Panamá;;;
;;;;
;Final de partida;;;
;1;;;
;1;;;
04/jan/26;África do Sul;Africa Cup of Nations 2025;Segunda fase;Stade Al Medina
;África do Sul;;;
;;;;
;Camarões;;;
;Camarões;;;
;;;;
;Final de partida;;;
;1;;;
;2;;;
29/dez/25;Zimbábue;Africa Cup of Nations 2025;Primeira fase;Estádio de Marrakesh
;Zimbábue;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;2;;;
;3;;;
26/dez/25;Egito;Africa Cup of Nations 2025;Primeira fase;Estádio Agadir
;Egito;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;1;;;
;0;;;
22/dez/25;África do Sul;Africa Cup of Nations 2025;Primeira fase;Estádio de Marrakesh
;África do Sul;;;
;;;;
;Angola;;;
;Angola;;;
;;;;
;Final de partida;;;
;2;;;
;1;;;
15/nov/25;África do Sul;Friendly 2025;-;Estádio de Port Elizabeth
;África do Sul;;;
;;;;
;Zâmbia;;;
;Zâmbia;;;
;;;;
;Final de partida;;;
;3;;;
;1;;;
14/out/25;África do Sul;Eliminatórias CAF da Copa do Mundo 26;1ª fase;Estádio Mbombela
;África do Sul;;;
;;;;
;Ruanda;;;
;Ruanda;;;
;;;;
;Final de partida;;;
;3;;;
;0;;;
10/out/25;Zimbábue;Eliminatórias CAF da Copa do Mundo 26;1ª fase;Estádio Mbombela
;Zimbábue;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;0;;;
;0;;;
09/set/25;África do Sul;Eliminatórias CAF da Copa do Mundo 26;1ª fase;Estádio de Free State
;África do Sul;;;
;;;;
;Nigéria;;;
;Nigéria;;;
;;;;
;Final de partida;;;
;1;;;
;1;;;
05/set/25;Lesoto;Eliminatórias CAF da Copa do Mundo 26;1ª fase;Estádio de Free State
;Lesoto;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;0;;;
;3;;;
18/ago/25;África do Sul;African Nations Championship 2025 (CHAN) - Final Comp.;Primeira fase;Estádio Nacional Nelson Mandela
;África do Sul;;;
;;;;
;Uganda;;;
;Uganda;;;
;;;;
;Final de partida;;;
;3;;;
;3;;;
15/ago/25;Níger;African Nations Championship 2025 (CHAN) - Final Comp.;Primeira fase;Estádio Nacional Nelson Mandela
;Níger;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;0;;;
;0;;;
11/ago/25;África do Sul;African Nations Championship 2025 (CHAN) - Final Comp.;Primeira fase;Estádio Nacional Nelson Mandela
;África do Sul;;;
;;;;
;Guiné;;;
;Guiné;;;
;;;;
;Final de partida;;;
;2;;;
;1;;;
08/ago/25;Argélia;African Nations Championship 2025 (CHAN) - Final Comp.;Primeira fase;Estádio Nacional Nelson Mandela
;Argélia;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;1;;;
;1;;;
10/jun/25;África do Sul;Friendly 2025;-;Estádio Peter Mokaba
;África do Sul;;;
;;;;
;Moçambique;;;
;Moçambique;;;
;;;;
;Final de partida;;;
;2;;;
;0;;;
06/jun/25;África do Sul;Friendly 2025;-;Estádio Peter Mokaba
;África do Sul;;;
;;;;
;Tanzânia;;;
;Tanzânia;;;
;;;;
;Final de partida;;;
