País;Rank
África do Sul;1428,38
Alemanha;1735,77
Arábia Saudita;1423,88
Argélia;1571,03
Argentina;1877,27
Austrália;1579,34
Áustria;1597,4
Bélgica;1742,24
Bósnia-Herzegovina;1387,22
Brasil;1765,86
Cabo Verde;1371,11
Canadá;1559,48
Colômbia;1698,35
Congo (RD);1474,43
Coreia do Sul;1591,63
Costa do Marfim;1540,87
Croácia;1714,87
Curaçao;1294,77
Egito;1562,37
Equador;1598,52
Escócia;1503,34
Espanha;1874,71
Estados Unidos;1671,23
França;1870,7
Gana;1346,88
Haiti;1293,1
Holanda;1753,57
Inglaterra;1828,02
Irã;1619,58
Iraque;1446,28
Japão;1661,58
Jordânia;1387,74
Marrocos;1755,1
México;1687,48
Noruega;1557,44
Nova Zelândia;1275,58
Panamá;1539,16
Paraguai;1505,35
Portugal;1767,85
Qatar;1450,31
República Tcheca;1505,74
Senegal;1684,07
Suécia;1509,79
Suíça;1650,06
Tunísia;1476,41
Turquia;1605,73
Uruguai;1673,07
Uzbequistão;1458,73
